,0
2024-04-16,84857.76040490356
2024-04-17,84467.12338808987
2024-04-18,84713.86470165147
2024-04-19,84540.1097015808
2024-04-22,84014.59909187388
2024-04-23,83245.1910638769
2024-04-24,83124.64514723308
2024-04-25,11936.274452513797
2024-04-26,83148.26354754355
2024-04-29,83615.5543631466
2024-04-30,80000.0
2024-05-01,79970.59732781476
2024-05-02,80191.63987068356
2024-05-03,80356.9232000539
2024-05-06,80840.07004419262
2024-05-07,81160.09781161083
2024-05-08,81161.37474530545
2024-05-09,80906.05574806378
2024-05-10,81464.09562834742
2024-05-13,81032.82760596724
2024-05-14,81166.39664117045
2024-05-15,81581.62232759927
2024-05-16,82012.311052328
2024-05-17,81859.43203989654
2024-05-20,83243.05945570215
2024-05-21,82976.88200943019
2024-05-22,83181.41028918375
2024-05-23,83359.85067185546
2024-05-24,83283.68048385352
2024-05-27,72600.37810615555
2024-05-28,84288.95548623455
2024-05-29,84499.44351695808
2024-05-30,83681.21696144821
2024-05-31,84131.56154931402
2024-06-03,83613.3010561029
2024-06-04,83796.1941862299
2024-06-05,82395.13900550558
2024-06-06,83281.57427672175
2024-06-07,83208.32542562851
2024-06-10,11403.047808699053
2024-06-11,82503.98574887481
2024-06-12,82308.85853847963
2024-06-13,82327.6490147628
2024-06-14,82106.20736645846
2024-06-17,81241.13251492493
2024-06-18,81071.2839779855
2024-06-19,69973.84690900266
2024-06-20,81054.61726331314
2024-06-21,81224.15165702866
2024-06-24,80696.72768106293
2024-06-25,81093.59332254817
2024-06-26,80176.52384995366
2024-06-27,79893.82448813133
2024-06-28,80514.85177833014
2024-07-01,79958.55931709042
2024-07-02,80049.05205052033
2024-07-03,80088.75616152814
2024-07-04,69807.59479995197
2024-07-05,80832.22001107561
2024-07-08,80699.8906046048
2024-07-09,80939.08405209475
2024-07-10,80557.62593024102
2024-07-11,80889.37883462332
2024-07-12,81727.76731770346
2024-07-15,82038.07604160908
2024-07-16,81611.58832164507
2024-07-17,82165.77877308517
2024-07-18,81088.79008554392
2024-07-19,80228.47239685532
2024-07-22,80188.51780090155
2024-07-23,80404.85482613074
2024-07-24,80920.15186780995
2024-07-25,80906.21638961058
2024-07-26,81314.36101605442
2024-07-29,81635.78246111228
2024-07-30,80788.53252872273
2024-07-31,90000.0
2024-08-01,90204.29029771706
2024-08-02,89664.90869780772
2024-08-05,88409.26937356648
2024-08-06,87359.6571040438
2024-08-07,87481.59075491261
2024-08-08,86971.42695322922
2024-08-09,87089.76764832943
2024-08-12,87190.77510343607
2024-08-13,87460.05588533639
2024-08-14,86916.17722104647
2024-08-15,77734.85994707882
2024-08-16,87803.58120216943
2024-08-19,87941.28444781885
2024-08-20,88228.66620416597
2024-08-21,88271.45890726107
2024-08-22,88257.9386785482
2024-08-23,88368.47153780259
2024-08-26,88635.38879303262
2024-08-27,79372.25545829364
2024-08-28,88314.94086491206
2024-08-29,88276.21301656263
2024-08-30,88242.99731403796
2024-09-02,78562.04032903793
2024-09-03,88065.3258862014
2024-09-04,86942.72954274573
2024-09-05,87058.0526980479
2024-09-06,87155.34953994262
2024-09-09,76852.91663837756
2024-09-10,77036.14748590533
2024-09-11,77079.70925099782
2024-09-12,87347.91958428081
2024-09-13,87979.69414547089
2024-09-16,88709.48581498093
2024-09-17,88436.35068371714
2024-09-18,88328.15961581405
2024-09-19,88693.36830657422
2024-09-20,88897.86646227141
2024-09-23,88822.89713574591
2024-09-24,88654.84113710569
2024-09-25,88979.95953597373
2024-09-26,88772.18987412346
2024-09-27,89242.03282537023
2024-09-30,89229.45020820649
2024-10-01,88674.99223527747
2024-10-02,88658.821375411
2024-10-03,88470.57493436035
2024-10-04,88482.52856849263
2024-10-07,88794.40087759847
2024-10-08,88210.56863082023
2024-10-09,77875.01287790267
2024-10-10,87734.85283094444
2024-10-11,87931.83410315723
2024-10-14,88528.83526319473
2024-10-15,88255.86097892487
2024-10-16,88411.12896560556
2024-10-17,78780.30885769514
2024-10-18,88265.9989855785
2024-10-21,89200.1998650099
2024-10-22,89065.26508544918
2024-10-23,88892.11634609551
2024-10-24,88509.20251320026
2024-10-25,88653.12534679701
2024-10-28,88760.8792507695
2024-10-29,89482.52773742442
2024-10-30,79538.55403474932
2024-10-31,90000.0
2024-11-01,89597.0529883995
2024-11-04,89946.97535820754
2024-11-05,80258.09819598572
2024-11-06,90601.77137413177
2024-11-07,88886.9034667524
2024-11-08,88916.3553071891
2024-11-11,88654.57744484715
2024-11-12,88437.63622451058
2024-11-13,87684.35692242398
2024-11-14,87426.65105966294
2024-11-15,87752.45340606058
2024-11-18,87123.67939922863
2024-11-19,87421.38035721176
2024-11-20,87161.92330185544
2024-11-21,87197.87653247971
2024-11-22,87451.1970815327
2024-11-25,88169.6918156647
2024-11-26,88186.69741443572
2024-11-27,88216.54576995115
2024-11-28,79500.14050889292
2024-11-29,88560.23048909692
2024-12-02,88508.09848510708
2024-12-03,78393.49307889104
2024-12-04,88958.76021908982
2024-12-05,88803.90555152576
2024-12-06,88766.47313995443
2024-12-09,89019.45445751376
2024-12-10,89482.38591618097
2024-12-11,89510.06951208788
2024-12-12,89568.13596378123
2024-12-13,88143.32495255247
2024-12-16,87842.92840461864
2024-12-17,87554.5077207542
2024-12-18,87610.77447590049
2024-12-19,86803.85889953481
2024-12-20,86687.28552372301
2024-12-23,87285.92328120727
2024-12-24,87761.63878401754
2024-12-26,9307.871107503466
2024-12-27,87949.47888992811
2024-12-30,87680.18056199334
